prime,TARGET,relation1_f-t,relation2_f-t,FAS_f-t,BAS_f-t,f_CUEfanout,TARGETfanin,rank,LSA_f-t,BEAGLE_RPs,BEAGLE_PMI,BEAGLE cosine,BEAGLE WIKI NIN,BEAGLE WIKI Cosine,LSA
toss,throw,synonym,NA,0.618,0.2,11,42,1,0.66,0.410558643,1.625224072,0.45596466,2,0.361326781,0.494762785
hitchhike,thumb,script,NA,0.203,6.10E-02,19,9,1,NA,0,5.0946354,0.118408796,2451,0.153334525,NA
lightning,thunder,script,NA,0.354,0.818,14,4,1,0.83,0.138860065,9.562607256,0.366906105,6,0.709911396,0.861784769
wednesday,thursday,fpa,NA,0.313,NA,16,2,1,0.72,0.530042944,44.20684002,0.464392989,7,0.85164602,0.989701303
admission,ticket,script,NA,0.245,4.80E-02,16,20,1,0.1,0.048725972,1.019292469,0.097730835,7563,0.405307421,0.451341394
bound,tie,synonym,NA,0.235,0,15,37,1,0.29,0.413378353,0.467429873,0.229934874,3136,0.364556702,0.275034841
lion,tiger,category,NA,0.362,0.308,15,21,1,0.68,0.17102862,2.65479206,0.271347659,795,0.513843246,0.657953989
loose,tight,antonym,NA,0.565,0.436,7,33,1,0.58,0.253826631,2.930127236,0.359924209,231,0.660073088,0.798365662
loosen,tighten,antonym,NA,0.389,NA,15,3,1,0.76,0.217544047,59.46434518,0.235053191,21,0.41457622,0.791577033
floor,tile,script,NA,0.17,0.578,12,9,1,0.37,0.07205371,2.185786869,0.204192103,4176,0.348981104,0.613082576
date,time,fpa,NA,0.141,0,20,119,1,0.27,0.159154169,0.122095429,NA,NA,NA,0.437330948
flat,tire,fpa,NA,0.15,0.117,19,21,1,0.18,0.115917155,0.917808892,0.248944577,2190,0.353098034,0.429681292
wary,tired,synonym,NA,0.182,0,17,56,1,0.17,0.133758795,0,0.165302973,588,0.475738634,0.506494014
kleenex,tissue,script,NA,0.421,0.185,12,11,1,0.06,0.032275327,38.75361769,0.078903821,4005,0.336408836,0.104328565
heading,title,script,NA,0.267,2.60E-02,17,8,1,0.6,0.049752383,0.098083072,0.517052568,4,0.401276934,0.180434175
cinnamon,toast,supraordinate,fpa,0.218,0,12,19,1,0.26,0.023570371,15.98269075,0.1097996,1299,0.398497785,0.680319552
stub,toe,fpa,NA,0.186,1.40E-02,17,11,1,0.05,0.064243304,7.396802672,0.071727109,4412,0.223183979,0.317896624
feet,toes,category,NA,0.466,0.532,10,5,1,0.62,0.21966825,3.2500121,0.483692914,68,0.388995329,0.589387826
with,together,synonym,NA,0.24,0.02,12,80,1,0.49,0.308474712,0.125264357,NA,NA,NA,0.257058824
lettuce,tomato,script,NA,0.292,5.60E-02,11,16,1,0.52,0.200395378,73.55216195,0.288599249,50,0.713878217,0.930634625
lick,tongue,functional property,NA,0.172,0.06,15,12,1,0.33,0.105028109,3.441061499,0.210836397,333,0.276997405,0.62904893
gin,tonic,category,NA,0.295,0.304,11,3,1,0.14,0.006386029,21.04614753,0.044067786,16648,0.29172516,0.557638789
pliers,tool,NA,NA,0.473,0,16,34,1,0.51,0,7.465613739,0.149896527,64,0.335622098,0.240568161
toothpaste,toothbrush,functional property,NA,0.296,0.493,13,4,1,0.55,0.097401113,234.9072117,0.170743186,423,0.531679408,0.873272259
tube,toothpaste,fpa,NA,0.136,0,25,5,1,0.27,0.022547387,5.007044435,0.204477314,1488,0.322203902,0.316207421
surface,top,synonym,NA,0.302,0,11,65,1,0.23,0.179635195,0.120498785,0.401877067,274,0.369281481,0.207765474
cyclone,tornado,synonym,NA,0.313,1.40E-02,11,10,1,0.45,0.09725758,6.498923932,0.15358367,624,0.187823626,0.699745372
pat,touch,supraordinate,NA,0.149,0,19,36,1,0.14,0.184725008,0.152535317,0.224954285,1097,0.454330157,0.418857613
washcloth,towel,category,NA,0.301,8.80E-02,14,14,1,0.12,0.018757134,225.9036145,0.144266913,478,NA,NA
village,town,synonym,NA,0.293,5.10E-02,15,14,1,0.37,0.738133088,1.018993789,0.789768548,2,0.969995384,0.089464148
plaything,toy,synonym,NA,0.664,2.80E-02,11,21,1,0.14,0.035594136,10.25693625,0.126795228,660,NA,0.389425847
swap,trade,synonym,NA,0.342,6.10E-02,8,9,1,0.05,0.090473186,0.317240951,0.099571067,2361,0.298713698,0.187984103
tractor,trailer,category,NA,0.326,3.40E-02,10,5,1,0.33,0.192958805,17.25802871,0.230754466,424,0.444285905,0.449050491
station,train,bpa,NA,0.319,8.30E-02,10,36,1,0.64,0.176733633,0.747429469,0.600694418,2,0.780212951,0.660951127
characteristic,trait,synonym,NA,0.176,0.296,18,6,1,0.38,0.57240633,1.10006932,0.361387587,509,0.489661702,0.633105566
garbage,trash,synonym,NA,0.456,0.526,14,19,1,0.86,0.323743282,9.33003945,0.633619738,2,0.559630686,0.817252908
trick,treat,fpa,NA,0.331,0.108,15,4,1,0.17,0.054880198,0.461760715,0.184472094,1838,0.448988217,0.335903885
park,tree,script,NA,0.115,0,21,106,1,0.22,0.117740005,0.241743132,0.315566917,396,0.373434118,0.280307748
landscape,trees,script,NA,0.199,0,20,17,1,0.35,0.124777919,0.615942056,0.361366635,11,0.466836138,0.548123126
magic,trick,fpa,NA,0.109,0.09,23,23,1,0.52,0.080484742,1.439146052,0.300407619,946,0.482569761,0.640919337
journey,trip,synonym,NA,0.459,1.40E-02,12,49,1,0.6,0.586116872,0.619148664,0.598694584,2,0.798481543,0.726308714
award,trophy,category,NA,0.117,0.182,24,3,1,0.21,0.174881831,1.643225693,0.094907151,3886,0.404150038,0.28629198
mischief,trouble,synonym,NA,0.303,0,21,44,1,0.35,0.338426006,1.023215466,0.325170714,20,0.664817946,0.673301471
FALSE,TRUE,antonym,NA,0.703,0.531,4,23,1,0.58,0.125367041,2.877598691,0.516727794,4,0.828338342,0.763564897
honest,truth,supraordinate,NA,0.182,0.247,18,52,1,0.52,0.153950415,0.898049131,0.472341408,17,0.700816907,0.627323044
effort,try,synonym,NA,0.462,6.20E-02,18,25,1,0.37,0.307140879,0.141467134,0.476142666,325,0.675563458,0.477715538
monday,tuesday,category,NA,0.353,8.80E-02,17,3,1,0.78,0.703885583,36.04290805,0.563353154,6,0.887728009,0.960219332
gymnastics,tumble,script,NA,0.106,2.80E-02,21,4,1,0.09,0.014320906,6.305369022,0.004495637,NA,0.166400586,0.038861453
container,tupperware,supraordinate,NA,0.168,3.30E-02,20,2,1,0.05,0.031642155,32.22583868,0.059734053,18067,0.256978757,0.485807093
twist,turn,fpa,NA,0.275,0.05,17,33,1,0.35,0.401457077,0.482624071,0.305103366,8,0.569948855,0.460109796
tortoise,turtle,category,NA,0.493,5.50E-02,7,7,1,0.26,0.18667442,22.11868204,0.197291356,171,0.337638478,0.690978947
dozen,twelve,synonym,NA,0.484,4.80E-02,4,3,1,0.55,0.109805273,0.5845296,0.284160017,273,0.671077536,0.613952265
pair,two,synonym,NA,0.456,3.40E-02,9,31,1,0.47,0.211920264,0.208977089,NA,NA,NA,NA
wart,ugly,perceptual property,NA,0.174,0,22,71,1,0.17,0.024828315,3.025042436,0.066044905,6751,NA,0.468570323
aunt,uncle,category,NA,0.746,0.706,3,7,1,0.82,0.244556201,11.28075702,0.614523941,2,0.829619537,0.837352265
foggy,unclear,synonym,NA,0.122,0,22,11,1,0,0.009156219,0,0.03988717,NA,0.339763559,0.241179975
common,uncommon,antonym,NA,0.096,0.213,23,4,1,0.4,0.130319165,4.340996524,0.230718334,6036,0.839786911,0.728338615
beneath,under,synonym,NA,0.481,7.40E-02,11,19,1,0.44,0.310781146,0.070637825,NA,NA,NA,0.293963003
realize,understand,category,NA,0.158,0,17,40,1,0.6,0.357246998,0.22492798,0.598720838,6,0.752912106,0.514331841
jobless,unemployment,synonym,NA,0.281,0.1,14,3,1,0.31,0.010315218,17.67783906,0.123549559,1563,0.385185139,0.854168104
unjust,unfair,synonym,NA,0.24,6.70E-02,14,8,1,0.38,0.19583279,7.65711959,0.324758332,9,0.569593252,0.524012553
known,unknown,antonym,NA,0.438,0.174,15,20,1,0.54,0.005022623,0.130145934,0.570236079,177,0.625552378,0.364399133
usual,unusual,antonym,NA,0.171,0.127,14,18,1,0.38,0.231826401,0.274913485,0.438963163,422,0.824551578,0.650212405
grown,up,fpa,NA,0.135,0,16,122,1,0.35,0.145183084,0.500611292,NA,NA,NA,0.329413669
downstairs,upstairs,synonym,NA,0.591,0.653,13,4,1,0.9,0.500799544,190.3514717,0.608425072,4,0.689906301,0.984092741
country,usa,supraordinate,NA,0.182,0.194,19,22,1,0.27,0.087772412,0.168607059,0.262675108,4844,0.462165435,0.290881211
trip,vacation,synonym,NA,0.297,0.419,10,38,1,0.52,0.168228334,1.448533532,0.431568639,201,0.628738462,0.42760408
precious,valuable,unclassifed,NA,0.136,4.50E-02,23,7,1,0.41,0.217186297,0.878516074,0.387854323,18,0.417367207,0.410050468
appraise,value,unclassified,NA,0.222,0,14,16,1,0.11,0.071190045,3.636371086,NA,NA,NA,0.286492423
morals,values,category,NA,0.184,0.479,22,6,1,0.46,0,0.49319587,0.439311103,2,0.465926332,0.318304122
disappear,vanish,synonym,NA,0.276,0.699,11,7,1,0.3,0.305860956,1.059675574,0.223441452,1670,0.516406712,0.745794954
pole,vault,fpa,NA,0.236,4.80E-02,14,4,1,0.14,0.012935693,7.14668326,0.093810015,3364,0.465921328,0.303048417
radish,vegetable,supraordinate,NA,0.26,0,14,20,1,0.16,0.028318937,20.63216968,0.277690194,23,0.419194947,0.870614424
tomato,vegetables,supraordinate,NA,0.231,2.50E-02,17,23,1,0.48,0.168016467,16.61771172,0.206665236,312,0.494805025,0.789055995
artery,vein,category,NA,0.417,0.326,8,4,1,0.86,0.535331541,35.87929251,0.58376501,19,0.494965812,0.715868614
noun,verb,category,NA,0.69,0.642,7,6,1,0.7,0.275217983,29.04910143,0.507304637,9,0.75180145,0.991551187
scenery,view,synonym,NA,0.14,0,22,19,1,0.14,0.027159178,0.508004156,0.222494233,42,0.48222735,0.288030042
grape,vine,fpa,NA,0.219,0.605,17,4,1,0.17,0.240864846,14.79977322,0.105382602,2516,0.39339689,0.76665801
viola,violin,category,NA,0.333,2.60E-02,15,11,1,0.42,0.229711459,89.53506998,0.110521948,1063,0.871154438,0.974247936
mary,virgin,bpa,NA,0.164,8.50E-02,15,7,1,0.12,0.063090148,4.473422015,0.154515528,7308,0.651660986,0.533225534
patience,virtue,NA,NA,0.198,0.108,21,6,1,0.29,0.131383375,3.933726706,0.155465667,3242,0.576762502,0.456275417
blur,vision,NA,NA,0.146,1.60E-02,16,26,1,0.32,0.140068675,4.159058715,0.165492693,760,0.509008587,0.389896178
lava,volcano,script,NA,0.388,0.18,11,10,1,0.96,0.171257732,18.09925388,0.605782098,4,0.611705463,0.901605277
puke,vomit,synonym,NA,0.204,0.224,13,10,1,0.04,0.027743548,23.67551629,-0.008690917,NA,NA,0.702602127
paddy,wagon,fpa,NA,0.23,0,17,14,1,0.09,0.04292244,0.778346678,0.094262385,3579,0.205407308,0.202885043
hesitate,wait,synonym,NA,0.221,0,18,15,1,0.23,0.218715192,0.244541143,0.218681671,338,0.491001853,0.437881925
server,waiter,synonym,NA,0.467,0.108,8,10,1,0.09,0.05107943,0.458764173,0.069954726,4759,0.097849955,0.015562695
hike,walk,category,NA,0.255,0,14,59,1,0.28,0.32978914,1.069107311,0.248864111,32,0.443466858,0.49581549
breezeway,walkway,synonym,NA,0.118,0.06,20,5,1,NA,0,17.37015807,NA,NA,NA,NA
plaster,wall,unclassifed,NA,0.243,0,20,45,1,0.52,0.159793225,2.794926299,0.378264436,6,0.446792777,0.791809012
roam,wander,synonym,NA,0.336,6.10E-02,15,6,1,0.28,0.361171938,0.62940391,0.191211332,226,0.591717813,0.738085381
desire,want,synonym,NA,0.61,0.278,9,33,1,0.37,0.247010825,0.271531649,0.389353856,357,0.613024769,0.366575995
tank,war,script,NA,0.171,0,14,72,1,0.04,0.032587503,0.514354306,0.04621672,NA,0.400090917,0.290440578
blanket,warm,functional property,NA,0.331,0,9,55,1,0.36,0.226112692,1.647145157,0.431868858,17,0.447135214,0.558152796
dishes,wash,bpa,NA,0.257,0,19,39,1,0.52,0.106162022,1.583670592,0.370600776,31,0.258340548,0.15222336
machine,washer,bpa,NA,0.203,2.20E-02,17,11,1,0.27,0.088799143,1.043823903,0.209135026,4440,NA,0.603033926
george,washington,fpa,NA,0.218,NA,14,5,1,0.73,0.080916098,0.86078016,0.436882621,19,0.670446064,0.53690504
observe,watch,synonym,NA,0.5,5.50E-02,7,45,1,0.31,0.335833222,0.208084939,0.405291116,230,0.559399425,0.321011932
bay,water,script,NA,0.349,0,15,276,1,0.17,0.106856115,0.276586698,0.298323847,333,0.42568619,0.252599445
manner,way,synonym,NA,0.256,0,21,37,1,0.41,0.509233713,0.154954075,NA,NA,NA,0.479703765
vulnerable,weak,synonym,NA,0.077,0,23,38,1,0.24,0.205718328,0.751340824,0.185378111,875,0.48596169,0.435093534
clothes,wear,functional property,NA,0.081,0.514,26,24,1,0.76,0.075610806,3.225966016,0.540880641,6,0.661178677,0.799227169
climate,weather,synonym,NA,0.381,0.198,13,29,1,0.54,0.569629838,2.032246304,0.684936201,1,0.448169404,0.456685165
basket,weave,fpa,NA,0.21,6.50E-02,19,4,1,0.18,0.100190236,11.38873889,0.151023194,6067,0.394081533,0.420077476
spider,web,fpa,NA,0.246,0.845,12,2,1,0.77,0.133815798,3.114600637,0.367429991,3,0.331294474,0.286164671
honeymoon,wedding,script,NA,0.18,1.40E-02,15,25,1,0.38,0.037802552,4.246007386,0.051147975,10475,0.676683419,0.907262488
tuesday,wednesday,category,NA,0.466,6.80E-02,12,4,1,0.73,0.622045672,43.37058364,0.501090967,8,0.853727309,0.994418553
friday,weekend,supraordinate,NA,0.279,2.70E-02,12,4,1,0.6,0.206093433,2.688638615,0.415962847,29,0.648141213,0.667710155
scale,weight,functional property,NA,0.53,1.40E-02,14,44,1,0.18,0.11198554,0.343120994,0.241729662,803,0.333466852,0.296967641
freak,weird,synonym,NA,0.179,0,17,32,1,0.38,0.022253789,0.626447485,0.109153279,1922,0.453151592,0.842116283
thanks,welcome,category,NA,0.329,1.30E-02,14,7,1,0.43,0.098550753,0.632685655,0.20926178,1116,0.704332504,0.467176178
east,west,category,NA,0.886,0.78,4,12,1,0.83,0.378737448,1.57278026,0.581485632,5,0.944605523,0.506213893
moist,wet,synonym,NA,0.543,0,5,63,1,0.53,0.380099832,4.228200751,0.58900611,13,0.524879697,0.210471508
mammal,whale,supraordinate,NA,0.212,5.20E-02,18,9,1,0.52,0.139039995,5.953824674,0.267715626,63,0.432181179,0.62364687
who,what,category,NA,0.229,0.181,11,21,1,0.58,0.203572321,0.100520878,NA,NA,NA,NA
grain,wheat,category,NA,0.365,3.40E-02,11,22,1,0.72,0.283049988,12.42415515,0.58176724,2,0.654048128,0.86684475
handicap,wheelchair,functional property,NA,0.296,NA,12,3,1,0.29,0.048176467,2.640456804,0.140569159,3951,0.180789889,0.137248064
where,when,category,NA,0.313,0.401,12,9,1,0.64,0.311759975,0.075987632,NA,NA,NA,NA
when,where,category,NA,0.401,0.313,9,7,1,0.64,0.311759975,0.075987632,NA,NA,NA,NA
complain,whine,synonym,NA,0.212,NA,19,3,1,0.12,0.108640348,4.262574595,0.142437185,5229,0.300109564,0.490293787
bleach,white,perceptual property,NA,0.432,0,15,134,1,0.17,0.144323577,0.4595296,0.154604797,229,0.362916618,0.22839632
whom,who,synonym,NA,0.531,1.40E-02,10,8,1,0.68,0,0.15794286,NA,NA,NA,NA
half,whole,antonym,NA,0.447,0.345,8,14,1,0.38,0.214303165,0.186255214,NA,NA,NA,0.455599431
because,why,unclassifed,NA,0.466,0.455,12,14,1,0.55,0.317315484,0.220543699,NA,NA,NA,NA
broad,wide,synonym,NA,0.38,3.40E-02,16,8,1,0.56,0.329546744,0.280741182,0.500980162,4,0.669994674,0.556282444
husband,wife,category,NA,0.885,0.677,4,15,1,0.87,0.287052015,0.897393931,0.666173785,2,0.036040695,0.489562274
tame,wild,antonym,NA,0.4,6.30E-02,13,35,1,0.7,0.491397048,2.752740521,0.512753416,2,0.705767615,0.612060762
able,willing,unclassified,NA,0.264,0.348,15,7,1,0.47,0.355335668,0.243430419,0.552396427,265,0.746532654,0.594956125
coward,wimp,synonym,NA,0.157,2.30E-02,13,8,1,0.02,0,0,NA,NA,0.131920298,0.444309044
triumph,win,synonym,NA,0.218,0,11,59,1,0.44,0.138433981,0.28534115,0.247171844,411,0.570411542,0.46212272
breeze,wind,synonym,NA,0.606,0.122,10,36,1,0.59,0.430598865,1.667476584,0.527546855,2,0.614271231,0.697842638
glass,window,perceptual property,fpa,0.144,0.256,21,33,1,0.41,0.323126222,2.18456821,0.434056522,182,0.591048748,0.544879778
cooler,wine,bpa,NA,0.207,0,10,34,1,0,0.064379508,0.41780119,0.096393009,8563,0.28498719,0.276840943
contest,winner,fpa,NA,0.182,0,12,19,1,0.64,0.066340343,0.963382953,0.318299247,19,0.436270628,0.640111285
summer,winter,antonym,NA,0.396,0.372,10,19,1,0.86,0.63753365,2.311543653,0.62986805,4,0.892677318,0.596356046
electrician,wire,script,NA,0.112,0,22,17,1,0.36,0.053256474,3.640334911,0.147516939,217,0.336521122,0.582997882
coyote,wolf,category,NA,0.237,0,10,9,1,0.55,0.322906588,5.060798244,0.2321082,142,0.515011739,0.709230662
man,woman,antonym,NA,0.66,0.595,9,71,1,0.37,0.80816377,0.894262287,NA,NA,NA,0.710272344
men,women,antonym,NA,0.614,0.45,10,14,1,0.66,0.80816377,0.894262287,NA,NA,NA,0.80994707
amaze,wonder,synonym,NA,0.137,0.185,16,18,1,0.13,0.090994405,1.231331093,0.192635567,14,NA,0.682469626
panel,wood,perceptual property,bpa,0.149,0,17,83,1,0.28,0.14237651,0.574640098,0.255843439,65,0.415560495,0.264851025
sheep,wool,perceptual property,NA,0.291,0.217,17,15,1,0.63,0.062185182,16.75995711,0.396206039,27,0.528807967,0.5514222
thesaurus,words,functional property,NA,0.351,0,10,50,1,0.56,0.065013856,1.425584001,0.366635501,6,0.497259639,0.485141408
school,work,fpa,NA,0.128,0.02,22,196,1,0.23,0.189447278,0.062236615,NA,NA,NA,0.271085676
factory,worker,fpa,NA,0.152,2.80E-02,24,28,1,0.57,0.292655307,1.371294441,0.522443537,10,0.545739639,0.361314779
gym,workout,functional property,NA,0.171,4.80E-02,17,9,1,0.35,0.031386523,9.161890607,0.067557903,18763,0.407197369,0.678882478
globe,world,synonym,NA,0.679,0.182,10,37,1,0.22,0.174836892,0.186184049,NA,NA,NA,0.486896661
maggot,worm,category,NA,0.196,0,17,17,1,0.14,0.042340504,7.495200144,0.088721668,1582,0.262738211,0.644971699
concern,worry,synonym,NA,0.352,2.80E-02,15,21,1,0.19,0.264825421,0.438520553,0.067845599,NA,0.22821155,0.347018073
best,worst,antonym,NA,0.536,0.504,10,4,1,0.35,0.447636832,0.497430827,NA,NA,NA,0.347324873
heal,wound,unclassifed,NA,0.106,3.50E-02,19,18,1,0.46,0.052400254,2.119066085,0.229404152,118,0.559467887,0.628852139
essay,write,unclassified,NA,0.336,1.10E-02,17,54,1,0.53,0.302047875,0.74503195,0.539939252,10,0.594008489,0.442056857
poet,writer,supraordinate,NA,0.224,5.10E-02,17,14,1,0.38,0.463255435,4.920336089,0.434246466,10,0.913196407,0.655350461
cursive,writing,supraordinate,NA,0.378,0,11,14,1,0.29,0.160593863,1.112078596,0.390502304,6,0.432335338,0.390170923
correct,wrong,antonym,NA,0.554,0,7,87,1,0.38,0.111624194,1.04378103,0.350416073,616,0.688759371,0.585832058
junk,yard,fpa,NA,0.173,0,19,35,1,0.31,0.056279433,0.881446766,0.233253534,375,0.245847652,0.15698284
century,year,category,NA,0.281,0,11,11,1,0.1,0.198538693,0.041735283,NA,NA,NA,0.133038049
scold,yell,unclassified,NA,0.32,0,13,30,1,0.16,0.126272074,5.981970341,0.150689273,929,0.230782247,0.768463767
mellow,yellow,fpa,NA,0.329,2.70E-02,13,51,1,0.17,0.104647557,1.311803033,0.127306357,517,0.260274292,0.199174437
no,yes,antonym,NA,0.761,0.83,9,23,1,0.52,0.364206089,0.938010365,NA,NA,NA,0.622036326
me,you,antonym,NA,0.5,0.701,12,15,1,0.48,0,3.082638004,NA,NA,NA,NA
youth,young,unclassified,NA,0.349,1.40E-02,8,39,1,0.59,0.163573381,0.672060475,0.529747212,3,0.660521576,0.794019056
mine,yours,antonym,NA,0.555,0.673,11,5,1,0.43,0,2.547845712,NA,NA,NA,0.593869384
none,zero,synonym,NA,0.25,0.338,11,9,1,0.02,0.063018464,0.079089609,NA,NA,NA,0.366844694
pimple,zit,synonym,NA,0.387,0.349,13,6,1,NA,0,160,NA,NA,NA,NA
twilight,zone,fpa,NA,0.176,0.139,9,5,1,0.16,0.051757433,13.01240591,0.142016141,2793,0.79734318,0.238566942
keeper,zoo,bpa,NA,0.101,2.10E-02,25,13,1,0.45,0.062852595,2.34072664,0.191460928,894,0.374549142,0.119831595
maroon,abandon,unclassifed,NA,0.02,Â¥,14,5,6,0.01,0.031252775,0.016339498,0.010753388,NA,0.180587689,0.183191197
means,ability,unclassifed,NA,0.054,0,13,18,4,0.31,0.169944837,0.090860994,0.568728339,69,0.637912299,0.462741233
irregular,abnormal,synonym,NA,0.046,0,15,10,3,0.07,0.063419081,0.936154278,0.118382644,6752,0.408008992,0.39524381
upstairs,above,unclassifed,NA,0.02,0,11,15,5,0.15,0.077722523,0.141122265,NA,NA,NA,0.137202718
torture,abuse,synonym,NA,0.02,0,13,12,6,0.15,0.019873168,2.369568815,0.055850114,NA,0.526837764,0.496277743
forgive,accept,unclassifed,NA,0.014,0,8,17,6,0.23,0.120428201,0.283675502,0.166845779,671,0.361738153,0.382118898
joint,account,fpa,NA,0.062,0,19,7,5,0.05,0.091320325,0.102485564,0.190048484,2118,0.495383936,0.276974596
condemn,accuse,unclassifed,NA,0.022,0,31,7,9,0.09,0.042967186,0.767635241,0.037744781,NA,0.569740181,0.862344656
head,ache,fpa,NA,0.082,0.188,15,15,2,0.32,0.087586363,0.243462517,0.166846164,6980,0.329944514,0.286319677
strive,achieve,unclassified,NA,0.139,0.03,18,13,2,0.54,0.07638588,0.963911508,0.311552965,12,0.651935669,0.670176417
pretend,act,synonym,NA,0.115,0.176,13,28,2,0.14,0.14240015,0.12887061,0.319088987,523,0.323539676,0.177273289
consequence,action,unclassifed,NA,0.033,0,25,31,4,0.22,0.246752916,0.580241703,0.387431957,42,0.71248036,0.364910246
passive,active,antonym,NA,0.118,4.70E-02,16,10,2,0.58,0.244117108,4.807343382,0.413781679,9,0.506051972,0.45460088
comedian,actor,supraordinate,NA,0.027,1.40E-02,9,25,4,0.17,0.009419955,9.698582998,0.049553702,7714,0.932673054,0.617619554
bullock,actress,supraordinate,NA,0.034,0,11,3,3,0.1,0,1.138207645,0.019084229,NA,0.425368666,0.261950309
numbers,add,functional property,action,0.014,1.10E-02,15,28,8,0.19,0.154448839,0.149847327,0.358770285,602,0.50961674,0.299691434
extension,addition,unclassifed,NA,0.02,0,14,6,8,0.28,0.122522681,0.130172799,0.414585935,16,0.646555005,0.471276462
pronoun,adjective,category,NA,0.059,2.20E-02,13,5,5,0.92,0.211431794,27.63779353,0.653897082,4,0.546163726,0.937770019
teenager,adolescent,synonym,NA,0.072,0.262,22,9,2,0.28,0.32929385,2.654604145,0.189433215,843,0.638789687,0.471650744
conquest,adventure,unclassifed,NA,0.034,0,23,10,6,0.2,0.138711512,0.117874358,0.146518749,3992,0.316905893,0.134567995
advise,advice,unclassifed,NA,0.02,0,19,10,6,0.52,0.093980032,1.76788355,0.320784514,17,0.772087647,0.764527299
hunger,africa,perceptual property,NA,0.011,0,15,15,9,0.09,0.030350063,0.143396421,0.101634276,9316,0.203994525,0.31632515
beyond,after,synonym,NA,0.039,0,20,13,6,0.38,0.186596855,0.049132043,NA,NA,NA,0.424323497
never,again,fpa,NA,0.077,6.60E-02,9,19,3,0.55,0.240300346,0.536325888,NA,NA,NA,0.730261214
odds,against,bpa,NA,0.053,0.09,7,25,3,0.38,0.040001658,0.943395872,NA,NA,NA,0.249749269
mature,age,synonym,NA,0.062,0,15,21,4,0.38,0.115559239,0.128413368,0.460694659,5,0.182700157,0.2129555
negotiation,agreement,synonym,NA,0.034,0,22,9,5,0.44,0.097761047,2.690135599,0.25390797,116,0.742926952,0.698178255
cool,air,fpa,NA,0.02,0,12,78,7,0.49,0.277532363,0.651634895,0.721897004,7,0.357591955,0.256803543
fly,airplane,functional property,NA,0.076,0.32,19,23,3,0.68,0.201216098,1.664784552,0.447209571,52,0.703144498,0.769387152
bartender,alcohol,script,NA,0.149,0,11,44,2,0.05,0.006723021,1.55643546,0.023649119,NA,0.296752523,0.338089714
notify,alert,synonym,NA,0.032,1.40E-02,12,12,5,0.36,0.169170079,1.631330627,0.132400035,1070,0.523272395,0.300681617
disbelief,alive,unclassifed,NA,0.041,0,19,21,3,0.23,0.011692474,0.180569543,0.06957242,12536,0.401019793,0.649261733
total,all,synonym,NA,0.159,0,6,18,3,0.24,0.181027503,0.057418695,NA,NA,NA,0.3414272
swamp,alligator,script,NA,0.047,3.20E-02,24,4,6,0.32,0.054679158,3.985665096,0.092096408,14041,0.5214508,0.736555353
grant,allow,synonym,NA,0.013,0,12,19,9,0.19,0.256107746,0.114601242,0.382681852,108,0.459290942,0.300768066
apart,alone,unclassifed,NA,0.021,0,8,42,7,0.26,0.068508461,0.067422556,NA,NA,NA,0.335068769
mediocre,alright,synonym,NA,0.02,Â¥,17,2,7,0.06,0,0,-0.003584003,NA,0.293560586,0.411317561
lead,aluminum,category,NA,0.014,0,14,7,10,0.42,0.152599345,0.095230137,0.347061591,1373,0.23709011,0.133725458
tradition,always,unclassified,NA,0.021,0,19,23,10,0.18,0.13431159,0.129335794,NA,NA,NA,0.322868828
become,am,unclassifed,NA,0.033,¥,24,4,4,0.16,0.592591264,0.034763989,NA,NA,NA,0.255488161
rescue,ambulance,functional property,NA,0.014,2.20E-02,12,4,9,0.45,0.077753236,1.974030055,0.195244184,1432,0.454493173,0.576788102
eagle,america,perceptual property,NA,0.041,0,11,22,5,0.04,0.052351634,0.185921625,0.168187112,4323,0.37688222,0.208779915
revolution,american,bpa,NA,0.027,0,14,20,6,0.36,0.091028992,0.32221226,0.554165504,2,0.407926282,0.216411177
price,amount,synonym,NA,0.061,0,12,32,4,0.19,0.1271967,0.267430513,0.339750465,189,0.45953764,0.317524798
funny,amuse,unclassifed,NA,0.034,0.122,17,2,7,0.24,0.187794378,1.308553537,0.222216809,2476,NA,0.62959891
harp,angel,perceptual property,NA,0.061,0,17,13,4,0.07,0.05458183,0.329053804,0.137387661,1683,0.313590924,0.358135533
vent,anger,unclassified,NA,0.041,0,8,55,4,0.04,0.0619371,2.306957124,0.069431132,12327,0.425535556,0.367218961
irritate,angry,unclassifed,NA,0.027,0,12,30,9,0.09,0.182149485,0.724831232,0.060505749,9884,0.269425034,0.398954998
jungle,animal,script,NA,0.074,0,21,156,3,0.24,0.080238426,0.446344583,0.280286928,837,0.421066842,0.310241925
wrist,ankle,category,NA,0.041,2.80E-02,7,7,6,0.62,0.232471418,21.44787452,0.192190973,858,0.528318292,0.769260055
salesman,annoy,perceptual property,NA,0.02,0,28,22,9,0.07,0.019281926,0.3888549,-0.012518019,NA,0.284141404,0.481976504
pushy,annoying,unclassified,NA,0.02,0,21,16,9,0,0,0,0.027192355,NA,NA,0.580017901
monthly,annually,category,NA,0.026,Â¥,15,2,7,0.31,0,0.529290845,0.164451099,1559,0.402683398,0.391407639
conclude,answer,unclassified,NA,0.013,0,12,55,6,0.23,0.080730952,0.141994093,0.165341072,4652,0.355854873,0.421919306
